,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
168,Josh Hart,Knicks,blocks,0.5,-115,over,0.38121660819385905,-1.4364534451443611,0.5348837209302326
169,Josh Hart,Knicks,blocks,0.5,-115,under,0.618783391806141,0.7842795321008822,0.5348837209302326
170,Donte DiVincenzo,Knicks,blocks,0.5,-130,over,0.5682894765709202,0.02717613889660253,0.5652173913043479
171,Donte DiVincenzo,Knicks,blocks,0.5,100,under,0.4317105234290798,-0.6828947657092019,0.5
172,Isaiah Hartenstein,Knicks,blocks,0.5,-230,over,0.6737202053769606,-0.16678983099136957,0.696969696969697
173,Isaiah Hartenstein,Knicks,blocks,0.5,170,under,0.3262797946230394,-0.5952227725889676,0.37037037037037035
174,Miles McBride,Knicks,blocks,0.5,275,over,0.11307956328284252,-2.8797581884467025,0.26666666666666666
175,Miles McBride,Knicks,blocks,0.5,-425,under,0.8869204367171575,0.4780379914883257,0.8095238095238095
176,Jalen Brunson,Knicks,blocks,0.5,350,over,0.07688365361336424,-3.2701177936993044,0.2222222222222222
177,Jalen Brunson,Knicks,blocks,0.5,-550,under,0.9231163463866358,0.45477841046648404,0.8461538461538461
