,PROPS,THRESH
1748,Payton Pritchard-steals-under,0.5
1168,Payton Pritchard-steals-under,0.5
360,Jrue Holiday-points-under,12.5
361,Aaron Nesmith-points-over,9.5
362,Al Horford-assists-under,2.5
235,Jayson Tatum-fgm-under,9.5
234,T.J. McConnell-points-over,9.5
236,Al Horford-assists-under,2.5
1032,T.J. McConnell-fgm-over,4.5
1033,T.J. McConnell-assists-over,4.5
1034,Jayson Tatum-fgm-under,9.5
1094,Obi Toppin-points-over,7.5
1095,Andrew Nembhard-blocks-under,0.5
1096,Payton Pritchard-fgm-over,3.5
1097,Myles Turner-steals-under,0.5
770,Luke Kornet-assists-over,0.5
771,Al Horford-assists-under,2.5
772,Andrew Nembhard-points-over,10.5
703,Al Horford-assists-under,2.5
702,Myles Turner-steals-under,0.5
701,Jrue Holiday-points-under,12.5
39,Jayson Tatum-steals-under,1.5
40,Jrue Holiday-steals-under,1.5
38,Jayson Tatum-points-under,29.5
37,Obi Toppin-points-over,7.5
1454,Derrick White-rebounds-over,3.5
1456,Obi Toppin-fgm-over,3.5
1455,Aaron Nesmith-points-over,9.5
1755,Jayson Tatum-steals-under,1.5
1756,Pascal Siakam-assists-over,2.5
1754,Jayson Tatum-rebounds-under,10.5
1753,Obi Toppin-points-over,7.5
1921,Luke Kornet-points-over,3.5
1924,Myles Turner-points-over,15.5
1923,Al Horford-rebounds-under,7.5
1922,Jayson Tatum-steals-under,1.5
216,Jayson Tatum-points-under,29.5
217,Al Horford-assists-under,2.5
218,Andrew Nembhard-points-over,10.5
156,Jaylen Brown-rebounds-under,6.5
154,Payton Pritchard-points-over,9.5
155,T.J. McConnell-fgm-over,4.5
586,Obi Toppin-points-over,7.5
587,Andrew Nembhard-blocks-under,0.5
588,Jayson Tatum-fgm-under,9.5
589,Payton Pritchard-steals-under,0.5
508,Jayson Tatum-points-under,29.5
509,T.J. McConnell-fgm-over,4.5
510,Myles Turner-points-over,15.5
640,T.J. McConnell-fgm-over,4.5
641,Myles Turner-fg3m-over,1.5
642,Jayson Tatum-fgm-under,9.5
892,T.J. McConnell-assists-over,4.5
891,Jayson Tatum-points-under,29.5
893,Al Horford-assists-under,2.5
991,Al Horford-assists-under,2.5
992,Payton Pritchard-fg3m-over,1.5
993,Jaylen Brown-rebounds-under,6.5
233,Obi Toppin-fgm-over,3.5
231,Payton Pritchard-points-over,9.5
232,Jrue Holiday-steals-under,1.5
7,Jrue Holiday-rebounds-under,5.5
6,Payton Pritchard-fgm-over,3.5
8,Al Horford-assists-under,2.5
1765,Obi Toppin-fgm-over,3.5
1764,Pascal Siakam-blocks-under,0.5
1763,Jrue Holiday-points-under,12.5
1087,Luke Kornet-assists-over,0.5
1084,Andrew Nembhard-blocks-under,0.5
1086,Jayson Tatum-rebounds-under,10.5
1085,T.J. McConnell-points-over,9.5
1348,Jayson Tatum-points-under,29.5
1337,T.J. McConnell-fgm-over,4.5
827,Payton Pritchard-fgm-over,3.5
828,T.J. McConnell-fgm-over,4.5
829,T.J. McConnell-assists-over,4.5
1338,T.J. McConnell-assists-over,4.5
1350,T.J. McConnell-assists-over,4.5
1349,T.J. McConnell-fgm-over,4.5
1336,Payton Pritchard-fgm-over,3.5
562,Jrue Holiday-points-under,12.5
563,Jrue Holiday-steals-under,1.5
564,Obi Toppin-fgm-over,3.5
1400,T.J. McConnell-fgm-over,4.5
1401,Luke Kornet-fgm-over,1.5
1402,Payton Pritchard-fg3m-over,1.5
9,Derrick White-rebounds-over,3.5
10,Jayson Tatum-fgm-under,9.5
11,Al Horford-assists-under,2.5
1199,Obi Toppin-points-over,7.5
1200,Payton Pritchard-points-over,9.5
1201,Jayson Tatum-fgm-under,9.5
13,Jayson Tatum-points-under,29.5
12,Payton Pritchard-assists-over,2.5
14,Al Horford-assists-under,2.5
176,Jrue Holiday-points-under,12.5
177,Jayson Tatum-fgm-under,9.5
1195,Jaylen Brown-rebounds-under,6.5
1194,Aaron Nesmith-points-over,9.5
1193,Jayson Tatum-fgm-under,9.5
178,Luke Kornet-fgm-over,1.5
1152,Myles Turner-fg3m-over,1.5
857,Payton Pritchard-points-over,9.5
1150,Payton Pritchard-points-over,9.5
858,Al Horford-rebounds-under,7.5
859,T.J. McConnell-fgm-over,4.5
1151,T.J. McConnell-fgm-over,4.5
74,T.J. McConnell-assists-over,4.5
75,Al Horford-assists-under,2.5
76,Andrew Nembhard-points-over,10.5
417,T.J. McConnell-fgm-over,4.5
416,Jrue Holiday-points-under,12.5
418,Jrue Holiday-rebounds-under,5.5
1309,Aaron Nesmith-points-over,9.5
1827,Payton Pritchard-points-over,9.5
1829,Aaron Nesmith-points-over,9.5
1307,Payton Pritchard-fgm-over,3.5
1308,Luke Kornet-assists-over,0.5
1828,Jayson Tatum-points-under,29.5
1639,Obi Toppin-points-over,7.5
1640,T.J. McConnell-fgm-over,4.5
1501,T.J. McConnell-fgm-over,4.5
1641,Payton Pritchard-fg3m-over,1.5
1500,Obi Toppin-points-over,7.5
1502,Myles Turner-points-over,15.5
307,Luke Kornet-fgm-over,1.5
305,T.J. McConnell-fgm-over,4.5
306,Andrew Nembhard-points-over,10.5
1381,Jayson Tatum-fgm-under,9.5
1380,Luke Kornet-assists-over,0.5
1379,T.J. McConnell-points-over,9.5
565,Payton Pritchard-points-over,9.5
566,Jrue Holiday-rebounds-under,5.5
567,Jayson Tatum-fgm-under,9.5
1247,Myles Turner-steals-under,0.5
53,Payton Pritchard-assists-over,2.5
1908,Jayson Tatum-rebounds-under,10.5
1707,Payton Pritchard-assists-over,2.5
1708,Al Horford-assists-under,2.5
1709,Myles Turner-points-over,15.5
1246,Al Horford-rebounds-under,7.5
1909,Myles Turner-steals-under,0.5
1910,Al Horford-assists-under,2.5
1248,Al Horford-assists-under,2.5
55,Payton Pritchard-fg3m-over,1.5
54,Al Horford-assists-under,2.5
1703,Aaron Nesmith-points-over,9.5
1702,Jayson Tatum-fgm-under,9.5
1701,Obi Toppin-points-over,7.5
1106,Luke Kornet-fgm-over,1.5
364,Al Horford-assists-under,2.5
363,T.J. McConnell-points-over,9.5
1104,Jayson Tatum-fgm-under,9.5
365,Andrew Nembhard-points-over,10.5
1105,Myles Turner-points-over,15.5
1647,Al Horford-assists-under,2.5
554,Al Horford-assists-under,2.5
1645,Jrue Holiday-steals-under,1.5
1646,T.J. McConnell-fgm-over,4.5
552,Jrue Holiday-steals-under,1.5
553,T.J. McConnell-fgm-over,4.5
486,Payton Pritchard-fgm-over,3.5
488,T.J. McConnell-fgm-over,4.5
487,Al Horford-rebounds-under,7.5
1719,Payton Pritchard-assists-over,2.5
1720,Payton Pritchard-fgm-over,3.5
1721,T.J. McConnell-fgm-over,4.5
146,Luke Kornet-fgm-over,1.5
144,Payton Pritchard-points-over,9.5
145,Luke Kornet-assists-over,0.5
1231,Jayson Tatum-points-under,29.5
1232,Al Horford-assists-under,2.5
1233,Payton Pritchard-steals-under,0.5
1567,Jrue Holiday-points-under,12.5
1566,Payton Pritchard-points-over,9.5
1568,Myles Turner-steals-under,0.5
830,Jayson Tatum-rebounds-under,10.5
1726,Al Horford-rebounds-under,7.5
1742,Jayson Tatum-fgm-under,9.5
1741,Payton Pritchard-points-over,9.5
1727,Jayson Tatum-fgm-under,9.5
1725,Luke Kornet-assists-over,0.5
1740,Payton Pritchard-assists-over,2.5
831,Luke Kornet-assists-over,0.5
1642,Luke Kornet-assists-over,0.5
1429,Al Horford-rebounds-under,7.5
832,Jayson Tatum-fgm-under,9.5
1428,Payton Pritchard-points-over,9.5
1644,Jayson Tatum-fgm-under,9.5
1643,Al Horford-rebounds-under,7.5
1430,Jayson Tatum-fgm-under,9.5
1172,Payton Pritchard-points-over,9.5
1173,T.J. McConnell-fgm-over,4.5
1174,Payton Pritchard-steals-under,0.5
580,Payton Pritchard-fgm-over,3.5
582,Jayson Tatum-fgm-under,9.5
581,Jrue Holiday-rebounds-under,5.5
1877,Luke Kornet-fgm-over,1.5
1876,Al Horford-assists-under,2.5
1875,Myles Turner-fg3m-over,1.5
789,Myles Turner-steals-under,0.5
788,Obi Toppin-points-over,7.5
790,Jayson Tatum-fgm-under,9.5
19,Jayson Tatum-fgm-under,9.5
20,Al Horford-assists-under,2.5
18,Pascal Siakam-blocks-under,0.5
1060,Luke Kornet-assists-over,0.5
1062,Al Horford-assists-under,2.5
1061,Derrick White-rebounds-over,3.5
659,Payton Pritchard-fg3m-over,1.5
658,Myles Turner-fg3m-over,1.5
656,Andrew Nembhard-blocks-under,0.5
657,Payton Pritchard-assists-over,2.5
837,Jrue Holiday-rebounds-under,5.5
838,Jaylen Brown-rebounds-under,6.5
836,T.J. McConnell-fgm-over,4.5
1333,Payton Pritchard-fgm-over,3.5
1335,Andrew Nembhard-points-over,10.5
1334,Luke Kornet-assists-over,0.5
516,Jayson Tatum-points-under,29.5
517,Payton Pritchard-fgm-over,3.5
518,Myles Turner-points-over,15.5
1075,Payton Pritchard-assists-over,2.5
1076,T.J. McConnell-assists-over,4.5
1077,Al Horford-assists-under,2.5
1252,Payton Pritchard-assists-over,2.5
903,Jayson Tatum-rebounds-under,10.5
904,T.J. McConnell-assists-over,4.5
905,Al Horford-assists-under,2.5
1253,T.J. McConnell-assists-over,4.5
1254,Al Horford-assists-under,2.5
1492,Al Horford-assists-under,2.5
