,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
2318,Mike Conley,Timberwolves,points,11.5,-110,over,0.6707321400195996,1.4024431547325418,0.5238095238095238,430,0.08938433654839713,0.04367817676701526,1.0464301205882323,21.89472853535354
2317,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,430,0.08938433654839713,0.04367817676701526,1.0464301205882323,21.89472853535354
2565,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,479,0.09058636108619122,0.044283861211310976,1.045584070773253,21.581590056663366
2566,Jaden McDaniels,Timberwolves,fg3m,1.5,-165,under,0.6626272662068446,0.3210977437822371,0.6226415094339623,479,0.09058636108619122,0.044283861211310976,1.045584070773253,21.581590056663366
2562,Naz Reid,Timberwolves,rebounds,3.5,-165,over,0.7514164433525283,1.0341017420733332,0.6226415094339623,479,0.09058636108619122,0.044283861211310976,1.045584070773253,21.581590056663366
2564,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,479,0.09058636108619122,0.044283861211310976,1.045584070773253,21.581590056663366
2567,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,479,0.09058636108619122,0.044283861211310976,1.045584070773253,21.581590056663366
2563,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,479,0.09058636108619122,0.044283861211310976,1.045584070773253,21.581590056663366
1770,Naz Reid,Timberwolves,rebounds,3.5,-165,over,0.7514164433525283,1.0341017420733332,0.6226415094339623,326,0.10612493753595739,0.05198690440866627,1.0413782806091896,18.235613494872748
1771,Derrick Jones Jr.,Mavericks,fg3m,1.5,-250,under,0.7357588823428847,0.15031217640019245,0.7142857142857143,326,0.10612493753595739,0.05198690440866627,1.0413782806091896,18.235613494872748
1772,Karl-Anthony Towns,Timberwolves,fgm,7.5,-150,under,0.6698308783593809,0.581923986328174,0.6000000000000001,326,0.10612493753595739,0.05198690440866627,1.0413782806091896,18.235613494872748
1773,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,326,0.10612493753595739,0.05198690440866627,1.0413782806091896,18.235613494872748
1774,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,326,0.10612493753595739,0.05198690440866627,1.0413782806091896,18.235613494872748
1775,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,326,0.10612493753595739,0.05198690440866627,1.0413782806091896,18.235613494872748
2064,Jaden McDaniels,Timberwolves,steals,1.5,-230,under,0.7504700565112195,0.38380692714570475,0.696969696969697,384,0.09962924505642859,0.048835462058602556,1.0401003872324073,19.476923076923082
2065,Derrick Jones Jr.,Mavericks,fg3m,1.5,-250,under,0.7357588823428847,0.15031217640019245,0.7142857142857143,384,0.09962924505642859,0.048835462058602556,1.0401003872324073,19.476923076923082
2066,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,384,0.09962924505642859,0.048835462058602556,1.0401003872324073,19.476923076923082
2067,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,384,0.09962924505642859,0.048835462058602556,1.0401003872324073,19.476923076923082
2068,Luka Doncic,Mavericks,rebounds,8.5,-120,over,0.6488794710104522,0.9480618175958122,0.5454545454545454,384,0.09962924505642859,0.048835462058602556,1.0401003872324073,19.476923076923082
2069,Luka Doncic,Mavericks,steals,1.5,-130,under,0.6197539005607728,0.4824383511145287,0.5652173913043479,384,0.09962924505642859,0.048835462058602556,1.0401003872324073,19.476923076923082
17,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,3,0.0778674262684876,0.03821571440007097,1.0375760990181306,25.16724600595568
16,Nickeil Alexander-Walker,Timberwolves,fgm,2.5,125,over,0.6365411418481235,2.161087845791389,0.4444444444444444,3,0.0778674262684876,0.03821571440007097,1.0375760990181306,25.16724600595568
15,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,3,0.0778674262684876,0.03821571440007097,1.0375760990181306,25.16724600595568
14,Mike Conley,Timberwolves,fgm,3.5,-140,over,0.6610671458715092,0.6662898217557931,0.5833333333333333,3,0.0778674262684876,0.03821571440007097,1.0375760990181306,25.16724600595568
13,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,3,0.0778674262684876,0.03821571440007097,1.0375760990181306,25.16724600595568
12,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,3,0.0778674262684876,0.03821571440007097,1.0375760990181306,25.16724600595568
