,parlay_tag,props,COMBINED_PROB,COMBINED_EV,TO WIN
1166,2024-05-21_1166_,Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.3849238195690824,1.7966706476967471,7.26551724137931
1421,2024-05-21_1421_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_rebounds_10.5_-145_under_P0.783_EV1.614_HOUSE_PROV0.592 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535,0.4729908848572258,1.7933933354376839,5.905807965582426
1016,2024-05-21_1016_,Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545,0.5256131316152548,1.7911869747844573,5.310344827586208
1406,2024-05-21_1406_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Jayson Tatum_fgm_9.5_-105_under_P0.656_EV1.400_HOUSE_PROV0.512,0.4454527793467334,1.7873407275538273,6.25732031943212
2842,2024-05-21_2842_,Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.36054979447212654,1.7872502167109117,7.730555555555556
1458,2024-05-21_1458_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Luke Kornet_points_3.5_-175_over_P0.777_EV1.105_HOUSE_PROV0.636 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.41195792003348775,1.7836585167977095,6.757142857142856
264,2024-05-21_264_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500,0.4276675932576516,1.7836270723791103,6.508856682769726
193,2024-05-21_193_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_fgm_3.5_-120_over_P0.746_EV1.839_HOUSE_PROV0.545 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545,0.4757523299039693,1.7835426956418456,5.85082304526749
1340,2024-05-21_1340_,Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.3492399586432748,1.7822984084534128,7.966724137931033
1432,2024-05-21_1432_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_rebounds_10.5_-145_under_P0.783_EV1.614_HOUSE_PROV0.592 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.42914288144368073,1.7790379384764052,6.475787106446776
