,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO WIN
114,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,33,0.35483098634171334,2.894254499648457,22.247928742181617
115,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,34,0.32830656111969525,6.077108088021889,33.74013620149174
116,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,34,0.32830656111969525,6.077108088021889,33.74013620149174
117,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,34,0.32830656111969525,6.077108088021889,33.74013620149174
118,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,34,0.32830656111969525,6.077108088021889,33.74013620149174
119,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,36,0.36734336834455594,8.865765613433046,37.74606215410813
120,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,36,0.36734336834455594,8.865765613433046,37.74606215410813
121,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,36,0.36734336834455594,8.865765613433046,37.74606215410813
122,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,36,0.36734336834455594,8.865765613433046,37.74606215410813
123,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,38,0.5134813462118651,3.662465279056832,16.87006810074587
124,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,38,0.5134813462118651,3.662465279056832,16.87006810074587
125,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,38,0.5134813462118651,3.662465279056832,16.87006810074587
126,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,39,0.499271401487972,8.461092394524048,26.961472967220097
127,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,39,0.499271401487972,8.461092394524048,26.961472967220097
128,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,39,0.499271401487972,8.461092394524048,26.961472967220097
129,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,40,0.41180024104745533,8.008442397106272,31.58920539730135
130,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,40,0.41180024104745533,8.008442397106272,31.58920539730135
131,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,40,0.41180024104745533,8.008442397106272,31.58920539730135
132,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,41,0.5258871996886496,4.139984251409777,17.380123069778243
